timestamp,question,answer,confidence,reason,status
2026-03-30T18:57:24.917980,What is the difference between IaaS and SaaS?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.629,Weak retrieval,pending
2026-03-30T18:57:58.094485,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.629,Weak retrieval,pending
2026-03-30T19:05:39.404330,what is cloud computing,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:06:29.853949,List the types of cloud services.,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:08:17.020400,what is cloud computing,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:09:06.997604,List the types of cloud services.,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:15:20.925586,what is coud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:17:17.992729,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:23:01.399576,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:26:33.164966,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:27:23.469745,what is iaas?,I don't have enough information to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:27:46.220521,List the types of cloud services,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-30T19:28:14.671539,Name three major cloud providers,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:24:31.588107,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:24:49.593727,diffrance between iaas pass,I don't have enough information to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:25:11.966023,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:29:18.132503,what is cloud computing?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:32:56.558120,what is in my uploded documents?,The system uses confidence scoring to evaluate answer quality and flags low-confidence responses for human review.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:42:13.130483,what is the diffrance between iaas and paas,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.303,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T18:55:34.314142,what is artificial intelligence?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.39,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:21:00.352864,what is artifical intelligance,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-03-31T19:21:36.290237,what is artificial intelligence?,I don't have any documents loaded yet. Please upload a document first.,0.0,No chunks retrieved,pending
2026-03-31T19:28:02.157209,what is vector database,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.496,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:28:52.126484,what is cloud computing?,"Cloud computing is the delivery of computing services—including servers, storage, databases, networking, software, analytics, and intelligence—over the Internet ('the cloud').",0.437,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:35:06.493804,What is RAG?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:36:03.114336,What is RAG?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:40:05.447294,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:44:19.320877,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:44:19.413438,What is FAISS used for?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:45:06.552031,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:45:06.873399,What is cloud computing?,I don't have enough relevant information in the uploaded documents to answer this question confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:45:53.113268,What is RAG and how does it work?,RAG stands for Retrieval-Augmented Generation. It retrieves relevant document chunks and uses them to generate accurate answers.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.038476,What is RAG and how does it work?,"RAG (Retrieval-Augmented Generation) is a technique that retrieves relevant document chunks using hybrid search and then uses an LLM to generate accurate, grounded answers.",0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.134935,What is FAISS used for?,FAISS is a library for fast similarity search over vector embeddings. It enables quick retrieval of semantically similar chunks.,0.344,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.228808,Explain hybrid retrieval in this system,"RAG (Retrieval-Augmented Generation) is a technique that retrieves relevant document chunks using hybrid search and then uses an LLM to generate accurate, grounded answers.",0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.320516,What is Sentence-BERT?,Sentence-BERT is used to convert text into dense vector embeddings so that semantically similar sentences are close in vector space.,0.342,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:48:23.424861,What is cloud computing?,I don't have enough relevant information in the uploaded documents to answer this confidently.,0.302,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.454872,What is RAG and how does it work?,I don't have enough relevant information in the uploaded documents to answer this confidently.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.545140,What is FAISS used for?,FAISS is a library for fast similarity search over vector embeddings. It enables quick retrieval of semantically similar chunks.,0.388,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.632804,Explain hybrid retrieval in this system,I don't have enough relevant information in the uploaded documents to answer this confidently.,0.346,"Weak retrieval, Low groundedness (possible hallucination)",pending
2026-03-31T19:54:01.714289,What is Sentence-BERT?,Sentence-BERT is used to convert text into dense vector embeddings so that semantically similar sentences are close in vector space.,0.386,"Weak retrieval, Low groundedness (possible hallucination)",pending
